rp_min,rp_max,n_pairs,rp,ds_raw,ds,z_l,z_s,1+m,2R,1+m_sel,ds_r,ds_err
0.1,0.15848931924611134,22557,0.12589254117941673,64.90974046770222,43.32502187123991,0.48504067659946737,1.1413022641406882,0.873811028523385,1.680735026228698,1.0062564537000929,0.5972121330397957,2.574851298747854
0.15848931924611134,0.251188643150958,57069,0.19952623149688797,45.97469811842056,31.6539005419205,0.4849232497799652,1.1426250490949208,0.8739796753412072,1.6803640787954544,1.0079574116462247,-0.5960081094086654,1.7126023448366436
0.251188643150958,0.3981071705534973,145951,0.31622776601683794,30.72807857451895,20.89837725295939,0.485069596554793,1.1438784940671514,0.8726816126848049,1.680418794424384,1.0071309885835917,-0.09297629229702851,0.9655432242524767
0.3981071705534973,0.6309573444801934,367560,0.5011872336272724,18.334732719357888,12.307673019895185,0.48530953625477447,1.144438455784378,0.8731795577171342,1.6804869905553808,1.007453190592964,0.09487714093056056,0.6434644510089484
0.6309573444801934,1.0,919609,0.7943282347242816,12.682976928929651,8.575397996382888,0.48528121397667967,1.144351337320659,0.8728622077855241,1.6804738120812082,1.0078204047834445,0.004075088942782617,0.4368363556319692
1.0,1.584893192461114,2305610,1.2589254117941675,7.8734798318352075,5.363582697276636,0.4852805573468752,1.1444042624328232,0.873004131826452,1.6804832426751768,1.0080633703904902,-0.039700958300801316,0.23484592826117517
1.584893192461114,2.511886431509581,5775924,1.9952623149688804,4.6518474934274785,3.034445192049818,0.48527055229495203,1.1443181363872745,0.873018614004698,1.6805018030831254,1.0081232891828362,0.11076253717411727,0.2051497046784218
2.511886431509581,3.981071705534973,14458657,3.16227766016838,2.479788967121207,1.699186531146773,0.48522573584839607,1.1443365886474843,0.8730326912746751,1.6805256511322533,1.0082375544567705,-0.022792131426521516,0.11706284807065193
3.981071705534973,6.309573444801933,36154818,5.011872336272724,1.7527973514231912,1.169796156735556,0.48524312301093825,1.1444603895003316,0.8729848838884321,1.6805225737133473,1.008100092637909,0.015363827026723441,0.08390223264587936
6.309573444801933,10.0,90547484,7.943282347242816,1.1179250761553912,0.7646680482247066,0.4852455866002769,1.1444928035103255,0.8730378810218034,1.6805183913895445,1.0081717354470843,-0.008876862938164667,0.06138419281172207
10.0,15.848931924611142,227157613,12.589254117941675,0.7549271904282056,0.5220527622910266,0.485239788481662,1.1445877086881349,0.8730625945590651,1.6805322009656851,1.0081264250265587,-0.01166782486070512,0.046719112548971854
15.848931924611142,25.11886431509582,568099872,19.952623149688808,0.5177684709082546,0.3692100252701841,0.48526751746694385,1.1445491462492192,0.873073353813288,1.6805488716339236,1.008103836479234,-0.019161338250421333,0.039384821802989606
25.11886431509582,39.810717055349734,1414049689,31.62277660168381,0.36312825659372644,0.25947927075852817,0.4853198757428476,1.1447198494847666,0.8730627814479056,1.6805565758943537,1.0081106088296108,-0.013978281056081508,0.03618751753121728
